domain,redirect
hydrogen.gov,https://www.hydrogen.energy.gov/interagency
ibb.gov,https://www.usagm.gov/
icjointduty.gov,https://www.dni.gov/index.php/careers/joint-duty
idfc.gov,https://www.dfc.gov/
idtheft.gov,https://www.identitytheft.gov/
iedison.gov,https://www.nist.gov/iedison
indianaffairs.gov,https://www.bia.gov/
info.gov,https://www.usa.gov/contact-us
interior.gov,https://www.doi.gov/
internet4all.gov,https://www.internetforall.gov/
interpol.gov,https://www.justice.gov/interpol-washington
invasivespecies.gov,https://www.doi.gov/invasivespecies/
ise.gov,https://www.dni.gov/index.php/
jamrs.org,https://jamrs.defense.gov/
jfklibrary.gov,https://jfklibrary.archives.gov/
juvenilecouncil.gov,https://juvenilecouncil.ojp.gov/
kids.gov,https://www.usa.gov/education?source=kids
know2protect.gov,https://www.dhs.gov/know2protect
knowyouroptions.com,https://www.fanniemae.com/
lbjlibrary.gov,https://lbjlibrary.archives.gov/
learndoj.gov,https://www.justice.gov/jmd/learndoj
listo.gov,https://www.ready.gov/es
literacydirectory.org,https://www.nld.org/
longtermcare.gov,https://acl.gov/ltc
makinghomeaffordable.gov,https://home.treasury.gov/data/troubled-assets-relief-program/housing
marineforlife.org,https://www.usmc-mccs.org/marine-family-support/transition-readiness/marine-for-life-network
mesh.gov,https://meshb.nlm.nih.gov/
mha.gov,https://home.treasury.gov/data/troubled-assets-relief-program/housing
micanaldepanama.com,https://pancanal.com/
migrantworker.gov,https://www.dol.gov/general/migrantworker
mimm.gov,https://www.consumerfinance.gov/consumer-tools/military-financial-lifecycle/
moneyfactory.gov,https://www.bep.gov/
moneyfactorystore.gov,https://www.usmint.gov/bureau-of-engraving.html
mshastanddown.gov,https://www.msha.gov/stand-down-save-lives
mymedicare.gov,https://www.medicare.gov/my/home
nagb.org,https://www.nagb.gov/
nara.gov,https://www.archives.gov/
nationalgangcenter.gov,https://nationalgangcenter.ojp.gov/
nationalhousing.gov,https://www.hud.gov/
nationalhousinglocator.gov,https://www.hud.gov/
nationalresourcedirectory.gov,http://nrd.gov/
navycash.gov,https://fiscal.treasury.gov/navy-cash/
navyreserve.com,https://www.navy.com/joining/ways-to-join/reserve
nbib.gov,https://www.dcsa.mil/
ncands.net,https://ncands.acf.hhs.gov/Account/Login?ReturnUrl=%2F
ncats.io,https://ncats.nih.gov/
ncirc.gov,https://ncirc.bja.ojp.gov/
ncsc.gov,https://www.dni.gov/index.php/ncsc-home
nctc.gov,https://www.dni.gov/index.php/nctc-home
nea.gov,https://www.arts.gov/
neabigread.org,https://mtcheck.org/info
necfuture.com,https://formspal.com/necfuture/
nefl-sega-cfc.org,https://pafikotasingaraja.info/
neup.gov,https://neup.inl.gov/
nhl.gov,https://www.hud.gov/
nih.com,https://www.nih.gov/
nij.gov,https://nij.ojp.gov/
nlm.gov,https://www.nlm.nih.gov/
nls.gov,https://www.hud.gov/
nmvtis.gov,https://vehiclehistory.bja.ojp.gov/
nsopw.org,https://www.nsopw.gov/
nvtc.gov,https://www.fbi.gov/about/leadership-and-structure/intelligence/national-virtual-translation-center
obamawhitehouse.gov,https://obamawhitehouse.archives.gov/
ondcp.gov,https://www.whitehouse.gov/
onecpd.info,https://www.hudexchange.info/
onguardonline.gov,https://consumer.ftc.gov/identity-theft-and-online-security/online-privacy-and-security
opioids.gov,https://www.hhs.gov/opioids/index.html
opportunityzones.gov,https://opportunityzones.hud.gov/
ostp.gov,https://www.whitehouse.gov/
ots.gov,https://www.occ.gov/
ourdocuments.gov,https://www.archives.gov/milestone-documents/list
ovc.gov,https://ovc.ojp.gov/
pacer.gov,https://pacer.uscourts.gov/
paleoglot.org,https://naturalhistory.si.edu/research/paleobiology/research/carrano-lab/polyglot-paleontologist
pandemicflu.gov,https://www.cdc.gov/pandemic-flu/index.html
pbgc.biz,https://www.pbgc.gov/
pbgc.com,https://www.pbgc.gov/
pbgc.net,https://www.pbgc.gov/
pbgc.org,https://www.pbgc.gov/
pbgc.us,https://www.pbgc.gov/
pepfar.gov,https://www.state.gov/pepfar/
persuader-reports.gov,https://oprs.dol.gov/
pic.gov,https://www.performance.gov/pic/
pif.gov,https://presidentialinnovationfellows.gov/
pnl.gov,https://www.pnnl.gov/
poolsafety.gov,https://www.poolsafely.gov/
presidentialdocuments.gov,https://www.govinfo.gov/app/collection/cpd
presidentschallenge.org,https://odphp.health.gov/pcsfn
presidiotrust.gov,https://presidio.gov/about/presidio-trust
presidiotunneltops.gov,https://presidio.gov/explore/attractions/presidio-tunnel-tops
preventionresourcefinder.gov,https://www.dhs.gov/prevention
project-open-data.github.io,https://resources.data.gov/
projectsafechildhood.gov,https://www.justice.gov/psc
projectsafeneighborhoods.gov,https://www.justice.gov/psn
psc.gov,https://www.hhs.gov/about/agencies/asa/psc/index.html
pscr.gov,https://www.nist.gov/ctl/pscr
psob.gov,https://psob.bja.ojp.gov/
pubmed.gov,https://pubmed.ncbi.nlm.nih.gov/
qualitynet.org,https://qualitynet.cms.gov/
readybusiness.gov,https://www.ready.gov/business
rec.gov,https://www.recreation.gov/
recordsmanagement.gov,https://www.archives.gov/records-mgmt
recoverymonth.gov,https://www.samhsa.gov/about/digital-toolkits/recovery-month
relocatefeds.gov,https://www.epa.gov/relocatefeds
rideelectric.gov,https://driveelectric.gov/ride
safecar.gov,https://www.nhtsa.gov/campaign/safercargov?redirect-safercar-sitewide
safercar.gov,https://www.nhtsa.gov/campaign/safercargov?redirect-safercar-sitewide
saferproduct.gov,https://www.saferproducts.gov/
safertruck.gov,https://www.nhtsa.gov/safertruck?redirect-safertruck-sitewide
safetyvideos.gov,https://www.csb.gov/videos/
safgrandchallenge.gov,https://biomassboard.gov/sustainable-aviation-fuel-grand-challenge
savingsbondwizard.gov,https://www.treasurydirect.gov/404/
scra.gov,https://www.justice.gov/servicemembers
seguridadconsumidor.gov,https://www.cpsc.gov/es
segurosocial.gov,https://www.ssa.gov/es
selectusa.gov,https://www.trade.gov/selectusa
semiconductors.gov,https://www.nist.gov/chips
senatecalendar.gov,https://www.govinfo.gov/app/collection/ccal
sentinel.gov,https://www.ftc.gov/enforcement/consumer-sentinel-network
servicelocator.org,https://www.careeronestop.org/localhelp/service-locator.aspx
servicemembers.gov,https://www.justice.gov/servicemembers
shopvcs.com,https://shopvcs.va.gov/
slgs.gov,https://www.treasurydirect.gov/government/slgs/
smart.gov,https://smart.ojp.gov/
smartcheck.gov,https://www.cftc.gov/LearnAndProtect
smartgrid.gov,https://www.energy.gov/electricity-insights
smithsonianstudentadventures.com,https://smithsonianstudenttravel.org/
socialsecurity.gov,https://www.ssa.gov/
spectrum.gov,https://www.ntia.gov/other-publication/2017/federal-government-spectrum-compendium
ssbgportal.net,https://ssbgportal.acf.hhs.gov/Account/Login?ReturnUrl=%2F
standards.gov,https://www.nist.gov/standardsgov
stopransomware.gov,https://www.cisa.gov/stopransomware
suicidepreventionlifeline.org,https://988lifeline.org/
surgeongeneral.gov,https://www.hhs.gov/surgeongeneral/index.html
